2012-01-01,"Many college profs",PHDS
2012-01-01,"Food preserver",SARAN
2012-01-01,"Sandwich choice, for short",PBJ
2012-01-01,"Crosswise to the keel",ABEAM
2012-01-01,"Pool ball’s “Watch this!” comment?",SEEIFICAROM
2012-01-01,"Arles affirmative",OUI
2012-01-01,"Onetime first name in Israeli politics",GOLDA
2012-01-01,"High-mounted window you can’t stop looking at?",HYPNOTICTRANSOM
2012-01-01,"“Come ___?”",AGAIN
2012-01-01,"Steely Dan album featuring “Deacon Blues”",AJA
2012-01-01,"Traveled by bus",RODE
2012-01-01,"Thin blue line?",VEIN
2012-01-01,"Resisted a job offer, say",STAYED
2012-01-01,"Go downhill",WORSEN
2012-01-01,"Part of a watch touching the breastbone?",STEMTOSTERNUM
2012-01-01,"End of many a list",ETAL
2012-01-01,"Camper’s canful",STERNO
2012-01-01,"She’s entertaining",HOSTESS
2012-01-01,"Heist planner’s concern",GETAWAY
2012-01-01,"Wedding part",VOW
2012-01-01,Ceiling,CAP
2012-01-01,"Strong winds",GALES
2012-01-01,"“You don’t have to be busy to look busy,” e.g.?",OFFICEMAXIM
2012-01-01,"Squished bug, e.g.",BLOB
2012-01-01,"[I’m so funny!]",LOL
2012-01-01,"Go all to pieces",BREAK
2012-01-01,"Antipasto tidbit",OLIVE
2012-01-01,"Pill that relieves computer-related anxiety?",SILICONVALIUM
2012-01-01,High,STONED
2012-01-01,"Bring in",EARN
2012-01-01,"History topic",ERA
2012-01-01,"“I think,” to texters",IMO
2012-01-01,"Empire State Building climber, for short",KONG
2012-01-01,"Holds under the tap",RINSES
2012-01-01,"Inhuman group of golfers?",BRUTEFOURSOME
2012-01-01,Behaved,ACTED
2012-01-01,"1988 Summer Olympics site",SEOUL
2012-01-01,"Handbag monogram",YSL
2012-01-01,"“A Love Like ___” (Barbra Streisand album)",OURS
2012-01-01,"Sultan’s wife, perhaps?",HEADOFHAREM
2012-01-01,"Sends up",MOCKS
2012-01-01,"Thank you for waiting",TIP
2012-01-01,"Reed of rock",LOU
2012-01-01,"“1984” superstate",EURASIA
2012-01-01,"Desperately want",ACHEFOR
2012-01-01,"Bad experience",BUMMER
2012-01-01,"Late sixth-century year",DXCV
2012-01-01,"Jungle king’s jeans and overalls?",THELIONSDENIM
2012-01-01,"Looked intently",PEERED
2012-01-01,"Knocked on the noggin",BEANED
2012-01-01,"Rainy day planner?",NOAH
2012-01-01,"Twelve Oaks neighbor",TARA
2012-01-01,"Pac-12 athlete",UTE
