2019-10-13,"Fasteners … or, if you change the fourth letter to an S, what the fasteners might be made of",BRADS
2019-10-13,It’s lit eight nights in a row,MENORAH
2019-10-13,Figure that denotes acidity,LOW PH
2019-10-13,Less everyday,RARER
2019-10-13,Humble expression of capability,I MANAGE
2019-10-13,Number that might be kept secret,SALARY
2019-10-13,Professional whose favorite movie line might be “There’s no place like home”,SOFTBALL PLAYER
2019-10-13,Muse of astronomy,URANIA
2019-10-13,Dis-qualified?,UNFIT
2019-10-13,Cyclops’s “I”,IOTA
2019-10-13,”Uh-oh!”,OOPS!
2019-10-13,Maker of the Acadia S.U.V,GMC
2019-10-13,Franchise with a series set in New Orleans,NCIS
2019-10-13,Singer ___ J. Blige,MARY
2019-10-13,Weasel relative,ERMINE
2019-10-13,South Asian garment,SARI
2019-10-13," “Here’s looking at you, kid”",GOATHERD
2019-10-13,Not be attentive,SNOOZE
2019-10-13,President whose wife went on to become president,PERON
2019-10-13,Unconfident utterances,UMS
2019-10-13, “I wish I knew how to quit you”,IT SPECIALIST
2019-10-13,Not manually controlled,ON AUTO
2019-10-13,Foreign capital where W. E. B. Du Bois is buried,ACCRA
2019-10-13,Do a little tidying,DUST
2019-10-13,Lukewarm response,MEH
2019-10-13,Arthropod appendages,PALPS
2019-10-13,Emitters of cosmic rays,PULSARS
2019-10-13,Arctic coat,PARKA
2019-10-13,Typing sounds,TAPS
2019-10-13,"”Well, aren’t I clever?!”",TADA!
2019-10-13,Shaving mishap,NICK
2019-10-13,One honored on March 8 per a 1977 United Nations resolution,WOMAN
2019-10-13," “Go ahead, make my day”",SCHEDULING COORDINATOR
2019-10-13,Less bronzed,PALER
2019-10-13,Hated figure,OGRE
2019-10-13,Promote,TOUT
2019-10-13,Relative of the emu,RHEA
2019-10-13,Couleur in the middle of the French flag,BLANC
2019-10-13,Big maker of smartphones,SAMSUNG
2019-10-13,"Word between “stink” and “stunk” in “You’re a Mean One, Mr. Grinch”",STANK
2019-10-13,"Hurry, quaintly",HIE
2019-10-13,Place to get a knish,DELI
2019-10-13,Obstetrics worker,NURSE
2019-10-13,Dwell,RESIDE
2019-10-13, “Get to the chopper!”,ORTHODONTIST
2019-10-13,"Recording device, for short",CAM
2019-10-13,___ planning,URBAN
2019-10-13,"Part of N.S., in Canadian mail",SCOTIA
2019-10-13, “Is this your king?!”,MAGICIAN
2019-10-13,Fine deposit,SILT
2019-10-13,Airport named for two Washington cities,SEA-TAC
